team,team_id,opp,opp_id,win,home,hit,miss
Zenith,1,Lokomotiv,2,1,1,3,0
Zenith,1,Khimki,3,1,0,3,1
Zenith,1,Rostov,4,1,0,4,2
Zenith,1,Krasnodar,5,1,1,3,2
Zenith,1,Lokomotiv,2,0,0,1,1
Zenith,1,Ufa,6,0,0,1,1
Zenith,1,CSKA,7,1,1,1,0
Zenith,1,Akhmat,8,1,1,3,1
Zenith,1,Chelsie,9,-1,0,0,1
Zenith,1,Rubin,10,1,0,3,1
Zenith,1,Krylia Sovetov,11,1,1,2,1
Zenith,1,Malme,12,1,1,4,0
Zenith,1,Sochi,13,-1,1,1,2
Zenith,1,Arsenal Tula,14,-1,0,1,2
Zenith,1,Juventus,15,-1,1,0,1
Zenith,1,Spartak,16,1,1,7,0
Zenith,1,Dynamo,17,1,1,4,1
Zenith,1,Juventus,15,-1,0,2,4
Zenith,1,Ural,18,0,0,0,0
